2025-07-04 20:39:06 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-04 20:39:07 - URI Original: /artesanoDigital/checkout/direccion, URI Procesada: /checkout/direccion
2025-07-04 20:39:07 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-04 20:39:07 - URI Original: /artesanoDigital/public/favicon-32x32.png, URI Procesada: /public/favicon-32x32.png
2025-07-04 20:39:07 - URI Original: /artesanoDigital/public/favicon-16x16.png, URI Procesada: /public/favicon-16x16.png
2025-07-04 20:39:14 - URI Original: /artesanoDigital/checkout/pago, URI Procesada: /checkout/pago
2025-07-04 20:39:14 - URI Original: /artesanoDigital/checkout/direccion, URI Procesada: /checkout/direccion
2025-07-04 20:39:14 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-04 20:39:45 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-04 20:40:15 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-04 20:40:45 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-04 20:41:15 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-04 20:41:45 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-04 20:42:15 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-04 20:42:45 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-04 20:43:28 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-04 20:44:28 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-04 20:45:28 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-04 20:46:28 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-04 20:46:42 - URI Original: /artesanoDigital/checkout/direccion, URI Procesada: /checkout/direccion
2025-07-04 20:46:43 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-04 20:46:43 - URI Original: /artesanoDigital/public/favicon-32x32.png, URI Procesada: /public/favicon-32x32.png
2025-07-04 20:46:43 - URI Original: /artesanoDigital/public/favicon-16x16.png, URI Procesada: /public/favicon-16x16.png
2025-07-04 20:46:48 - URI Original: /artesanoDigital/checkout/pago, URI Procesada: /checkout/pago
2025-07-04 20:46:48 - URI Original: /artesanoDigital/checkout/direccion, URI Procesada: /checkout/direccion
2025-07-04 20:46:48 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-04 20:47:18 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-04 20:47:48 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-04 20:48:18 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-04 20:48:48 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-04 20:49:18 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-04 20:49:48 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-04 20:50:18 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-04 20:51:19 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-04 20:52:20 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-04 20:53:21 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-04 20:54:22 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-04 20:54:46 - URI Original: /artesanoDigital/checkout/direccion, URI Procesada: /checkout/direccion
2025-07-04 20:54:47 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-04 20:54:47 - URI Original: /artesanoDigital/checkout/direccion, URI Procesada: /checkout/direccion
2025-07-04 20:54:47 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-04 20:55:18 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-04 20:55:48 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-04 20:55:55 - URI Original: /artesanoDigital/checkout/direccion, URI Procesada: /checkout/direccion
2025-07-04 20:55:55 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-04 20:55:56 - URI Original: /artesanoDigital/checkout/direccion, URI Procesada: /checkout/direccion
2025-07-04 20:55:56 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-04 20:55:56 - URI Original: /artesanoDigital/checkout/direccion, URI Procesada: /checkout/direccion
2025-07-04 20:55:56 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-04 20:56:15 - URI Original: /artesanoDigital/checkout/direccion, URI Procesada: /checkout/direccion
2025-07-04 20:56:15 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-04 20:56:15 - URI Original: /artesanoDigital/public/favicon-32x32.png, URI Procesada: /public/favicon-32x32.png
2025-07-04 20:56:15 - URI Original: /artesanoDigital/public/favicon-16x16.png, URI Procesada: /public/favicon-16x16.png
2025-07-04 20:56:20 - URI Original: /artesanoDigital/checkout/pago, URI Procesada: /checkout/pago
2025-07-04 20:56:20 - URI Original: /artesanoDigital/checkout/direccion, URI Procesada: /checkout/direccion
2025-07-04 20:56:20 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-04 20:56:34 - URI Original: /artesanoDigital/checkout/direccion, URI Procesada: /checkout/direccion
2025-07-04 20:56:34 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-04 20:56:34 - URI Original: /artesanoDigital/public/favicon-32x32.png, URI Procesada: /public/favicon-32x32.png
2025-07-04 20:56:34 - URI Original: /artesanoDigital/public/favicon-16x16.png, URI Procesada: /public/favicon-16x16.png
2025-07-04 20:56:34 - URI Original: /artesanoDigital/checkout/direccion, URI Procesada: /checkout/direccion
2025-07-04 20:56:34 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-04 20:56:35 - URI Original: /artesanoDigital/public/favicon-32x32.png, URI Procesada: /public/favicon-32x32.png
2025-07-04 20:56:35 - URI Original: /artesanoDigital/public/favicon-16x16.png, URI Procesada: /public/favicon-16x16.png
2025-07-04 20:56:37 - URI Original: /artesanoDigital/checkout/direccion, URI Procesada: /checkout/direccion
2025-07-04 20:56:37 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-04 20:56:45 - URI Original: /artesanoDigital/checkout/pago, URI Procesada: /checkout/pago
2025-07-04 20:56:45 - URI Original: /artesanoDigital/checkout/direccion, URI Procesada: /checkout/direccion
2025-07-04 20:56:45 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-04 20:57:15 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-04 20:57:45 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-04 20:58:15 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-04 20:58:45 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-04 20:59:04 - URI Original: /artesanoDigital/checkout/direccion, URI Procesada: /checkout/direccion
2025-07-04 20:59:05 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-04 20:59:05 - URI Original: /artesanoDigital/public/favicon-32x32.png, URI Procesada: /public/favicon-32x32.png
2025-07-04 20:59:05 - URI Original: /artesanoDigital/public/favicon-16x16.png, URI Procesada: /public/favicon-16x16.png
2025-07-04 20:59:11 - URI Original: /artesanoDigital/checkout/direccion, URI Procesada: /checkout/direccion
2025-07-04 20:59:11 - URI Original: /artesanoDigital/checkout/pago, URI Procesada: /checkout/pago
2025-07-04 20:59:11 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-04 20:59:23 - URI Original: /artesanoDigital/checkout/factura, URI Procesada: /checkout/factura
2025-07-04 20:59:23 - URI Original: /artesanoDigital/checkout/direccion, URI Procesada: /checkout/direccion
2025-07-04 20:59:23 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-04 21:03:01 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-04 21:22:04 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-04 21:22:19 - URI Original: /artesanoDigital/checkout/direccion, URI Procesada: /checkout/direccion
2025-07-04 21:22:19 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-04 21:22:19 - URI Original: /artesanoDigital/public/favicon-32x32.png, URI Procesada: /public/favicon-32x32.png
2025-07-04 21:22:20 - URI Original: /artesanoDigital/public/favicon-16x16.png, URI Procesada: /public/favicon-16x16.png
2025-07-04 21:22:26 - URI Original: /artesanoDigital/checkout/direccion, URI Procesada: /checkout/direccion
2025-07-04 21:22:26 - URI Original: /artesanoDigital/checkout/pago, URI Procesada: /checkout/pago
2025-07-04 21:22:27 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-04 21:22:33 - URI Original: /artesanoDigital/checkout/factura, URI Procesada: /checkout/factura
2025-07-04 21:22:33 - URI Original: /artesanoDigital/checkout/direccion, URI Procesada: /checkout/direccion
2025-07-04 21:22:33 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-04 21:23:03 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-04 21:23:33 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
